Country Name,Country Code,Topic,% of available indicators,Year
Papua New Guinea,PNG,Assets,0.000,1960
Papua New Guinea,PNG,Assets,0.000,1961
Papua New Guinea,PNG,Assets,0.000,1962
Papua New Guinea,PNG,Assets,0.000,1963
Papua New Guinea,PNG,Assets,0.000,1964
Papua New Guinea,PNG,Assets,0.000,1965
Papua New Guinea,PNG,Assets,0.000,1966
Papua New Guinea,PNG,Assets,0.000,1967
Papua New Guinea,PNG,Assets,0.000,1968
Papua New Guinea,PNG,Assets,0.000,1969
Papua New Guinea,PNG,Assets,2.208,1970
Papua New Guinea,PNG,Assets,2.208,1971
Papua New Guinea,PNG,Assets,2.208,1972
Papua New Guinea,PNG,Assets,2.208,1973
Papua New Guinea,PNG,Assets,2.208,1974
Papua New Guinea,PNG,Assets,2.208,1975
Papua New Guinea,PNG,Assets,2.208,1976
Papua New Guinea,PNG,Assets,2.208,1977
Papua New Guinea,PNG,Assets,2.208,1978
Papua New Guinea,PNG,Assets,2.208,1979
Papua New Guinea,PNG,Assets,2.208,1980
Papua New Guinea,PNG,Assets,2.208,1981
Papua New Guinea,PNG,Assets,2.208,1982
Papua New Guinea,PNG,Assets,2.208,1983
Papua New Guinea,PNG,Assets,2.208,1984
Papua New Guinea,PNG,Assets,2.208,1985
Papua New Guinea,PNG,Assets,2.208,1986
Papua New Guinea,PNG,Assets,2.208,1987
Papua New Guinea,PNG,Assets,2.208,1988
Papua New Guinea,PNG,Assets,2.208,1989
Papua New Guinea,PNG,Assets,2.208,1990
Papua New Guinea,PNG,Assets,2.208,1991
Papua New Guinea,PNG,Assets,2.208,1992
Papua New Guinea,PNG,Assets,2.208,1993
Papua New Guinea,PNG,Assets,2.208,1994
Papua New Guinea,PNG,Assets,2.208,1995
Papua New Guinea,PNG,Assets,2.208,1996
Papua New Guinea,PNG,Assets,2.208,1997
Papua New Guinea,PNG,Assets,2.208,1998
Papua New Guinea,PNG,Assets,2.208,1999
Papua New Guinea,PNG,Assets,2.208,2000
Papua New Guinea,PNG,Assets,2.208,2001
Papua New Guinea,PNG,Assets,2.208,2002
Papua New Guinea,PNG,Assets,2.208,2003
Papua New Guinea,PNG,Assets,2.208,2004
Papua New Guinea,PNG,Assets,2.208,2005
Papua New Guinea,PNG,Assets,2.208,2006
Papua New Guinea,PNG,Assets,2.208,2007
Papua New Guinea,PNG,Assets,2.208,2008
Papua New Guinea,PNG,Assets,2.208,2009
Papua New Guinea,PNG,Assets,2.208,2010
Papua New Guinea,PNG,Assets,2.208,2011
Papua New Guinea,PNG,Assets,2.208,2012
Papua New Guinea,PNG,Assets,2.208,2013
Papua New Guinea,PNG,Assets,2.208,2014
Papua New Guinea,PNG,Assets,2.208,2015
Papua New Guinea,PNG,Assets,2.208,2016
Papua New Guinea,PNG,Assets,2.208,2017
Papua New Guinea,PNG,Assets,32.492,2018
Papua New Guinea,PNG,Assets,2.208,2019
Papua New Guinea,PNG,Assets,2.208,2020
Papua New Guinea,PNG,Assets,2.208,2021
Papua New Guinea,PNG,Assets,2.208,2022
Papua New Guinea,PNG,Assets,2.208,2023
Papua New Guinea,PNG,Children 0-14,19.231,1960
Papua New Guinea,PNG,Children 0-14,19.231,1961
Papua New Guinea,PNG,Children 0-14,19.231,1962
Papua New Guinea,PNG,Children 0-14,19.231,1963
Papua New Guinea,PNG,Children 0-14,19.231,1964
Papua New Guinea,PNG,Children 0-14,19.231,1965
Papua New Guinea,PNG,Children 0-14,19.231,1966
Papua New Guinea,PNG,Children 0-14,19.231,1967
Papua New Guinea,PNG,Children 0-14,19.231,1968
Papua New Guinea,PNG,Children 0-14,19.231,1969
Papua New Guinea,PNG,Children 0-14,25.385,1970
Papua New Guinea,PNG,Children 0-14,25.385,1971
Papua New Guinea,PNG,Children 0-14,25.385,1972
Papua New Guinea,PNG,Children 0-14,23.077,1973
Papua New Guinea,PNG,Children 0-14,23.077,1974
Papua New Guinea,PNG,Children 0-14,25.385,1975
Papua New Guinea,PNG,Children 0-14,25.385,1976
Papua New Guinea,PNG,Children 0-14,23.077,1977
Papua New Guinea,PNG,Children 0-14,25.385,1978
Papua New Guinea,PNG,Children 0-14,25.385,1979
Papua New Guinea,PNG,Children 0-14,20.769,1980
Papua New Guinea,PNG,Children 0-14,26.154,1981
Papua New Guinea,PNG,Children 0-14,26.154,1982
Papua New Guinea,PNG,Children 0-14,24.615,1983
Papua New Guinea,PNG,Children 0-14,26.923,1984
Papua New Guinea,PNG,Children 0-14,20.769,1985
Papua New Guinea,PNG,Children 0-14,28.462,1986
Papua New Guinea,PNG,Children 0-14,31.538,1987
Papua New Guinea,PNG,Children 0-14,31.538,1988
Papua New Guinea,PNG,Children 0-14,39.231,1989
Papua New Guinea,PNG,Children 0-14,31.538,1990
Papua New Guinea,PNG,Children 0-14,31.538,1991
Papua New Guinea,PNG,Children 0-14,30.000,1992
Papua New Guinea,PNG,Children 0-14,27.692,1993
Papua New Guinea,PNG,Children 0-14,31.538,1994
Papua New Guinea,PNG,Children 0-14,31.538,1995
Papua New Guinea,PNG,Children 0-14,29.231,1996
Papua New Guinea,PNG,Children 0-14,29.231,1997
Papua New Guinea,PNG,Children 0-14,35.385,1998
Papua New Guinea,PNG,Children 0-14,20.769,1999
Papua New Guinea,PNG,Children 0-14,40.769,2000
Papua New Guinea,PNG,Children 0-14,27.692,2001
Papua New Guinea,PNG,Children 0-14,30.000,2002
Papua New Guinea,PNG,Children 0-14,27.692,2003
Papua New Guinea,PNG,Children 0-14,25.385,2004
Papua New Guinea,PNG,Children 0-14,32.308,2005
Papua New Guinea,PNG,Children 0-14,25.385,2006
Papua New Guinea,PNG,Children 0-14,20.769,2007
Papua New Guinea,PNG,Children 0-14,26.923,2008
Papua New Guinea,PNG,Children 0-14,20.769,2009
Papua New Guinea,PNG,Children 0-14,50.769,2010
Papua New Guinea,PNG,Children 0-14,20.769,2011
Papua New Guinea,PNG,Children 0-14,33.077,2012
Papua New Guinea,PNG,Children 0-14,20.769,2013
Papua New Guinea,PNG,Children 0-14,23.077,2014
Papua New Guinea,PNG,Children 0-14,34.615,2015
Papua New Guinea,PNG,Children 0-14,45.385,2016
Papua New Guinea,PNG,Children 0-14,23.846,2017
Papua New Guinea,PNG,Children 0-14,46.923,2018
Papua New Guinea,PNG,Children 0-14,34.615,2019
Papua New Guinea,PNG,Children 0-14,25.385,2020
Papua New Guinea,PNG,Children 0-14,20.769,2021
Papua New Guinea,PNG,Children 0-14,25.385,2022
Papua New Guinea,PNG,Children 0-14,9.231,2023
Papua New Guinea,PNG,Education,0.000,1960
Papua New Guinea,PNG,Education,0.000,1961
Papua New Guinea,PNG,Education,0.000,1962
Papua New Guinea,PNG,Education,0.000,1963
Papua New Guinea,PNG,Education,0.000,1964
Papua New Guinea,PNG,Education,0.000,1965
Papua New Guinea,PNG,Education,0.000,1966
Papua New Guinea,PNG,Education,0.000,1967
Papua New Guinea,PNG,Education,0.000,1968
Papua New Guinea,PNG,Education,0.000,1969
Papua New Guinea,PNG,Education,11.656,1970
Papua New Guinea,PNG,Education,7.975,1971
Papua New Guinea,PNG,Education,9.816,1972
Papua New Guinea,PNG,Education,6.135,1973
Papua New Guinea,PNG,Education,11.043,1974
Papua New Guinea,PNG,Education,12.883,1975
Papua New Guinea,PNG,Education,12.883,1976
Papua New Guinea,PNG,Education,11.656,1977
Papua New Guinea,PNG,Education,7.975,1978
Papua New Guinea,PNG,Education,7.975,1979
Papua New Guinea,PNG,Education,3.681,1980
Papua New Guinea,PNG,Education,7.975,1981
Papua New Guinea,PNG,Education,7.975,1982
Papua New Guinea,PNG,Education,2.454,1983
Papua New Guinea,PNG,Education,17.178,1984
Papua New Guinea,PNG,Education,2.454,1985
Papua New Guinea,PNG,Education,19.018,1986
Papua New Guinea,PNG,Education,16.564,1987
Papua New Guinea,PNG,Education,16.564,1988
Papua New Guinea,PNG,Education,22.699,1989
Papua New Guinea,PNG,Education,15.951,1990
Papua New Guinea,PNG,Education,16.564,1991
Papua New Guinea,PNG,Education,15.337,1992
Papua New Guinea,PNG,Education,12.883,1993
Papua New Guinea,PNG,Education,15.951,1994
Papua New Guinea,PNG,Education,19.632,1995
Papua New Guinea,PNG,Education,9.202,1996
Papua New Guinea,PNG,Education,8.589,1997
Papua New Guinea,PNG,Education,28.221,1998
Papua New Guinea,PNG,Education,3.067,1999
Papua New Guinea,PNG,Education,12.270,2000
Papua New Guinea,PNG,Education,6.135,2001
Papua New Guinea,PNG,Education,7.362,2002
Papua New Guinea,PNG,Education,5.521,2003
Papua New Guinea,PNG,Education,3.681,2004
Papua New Guinea,PNG,Education,3.681,2005
Papua New Guinea,PNG,Education,3.681,2006
Papua New Guinea,PNG,Education,0.000,2007
Papua New Guinea,PNG,Education,4.908,2008
Papua New Guinea,PNG,Education,0.000,2009
Papua New Guinea,PNG,Education,8.589,2010
Papua New Guinea,PNG,Education,0.000,2011
Papua New Guinea,PNG,Education,22.086,2012
Papua New Guinea,PNG,Education,0.000,2013
Papua New Guinea,PNG,Education,1.840,2014
Papua New Guinea,PNG,Education,0.613,2015
Papua New Guinea,PNG,Education,30.061,2016
Papua New Guinea,PNG,Education,15.951,2017
Papua New Guinea,PNG,Education,30.061,2018
Papua New Guinea,PNG,Education,0.613,2019
Papua New Guinea,PNG,Education,11.656,2020
Papua New Guinea,PNG,Education,0.613,2021
Papua New Guinea,PNG,Education,14.724,2022
Papua New Guinea,PNG,Education,0.000,2023
Papua New Guinea,PNG,Employment and Time Use,0.000,1960
Papua New Guinea,PNG,Employment and Time Use,0.000,1961
Papua New Guinea,PNG,Employment and Time Use,0.000,1962
Papua New Guinea,PNG,Employment and Time Use,0.000,1963
Papua New Guinea,PNG,Employment and Time Use,0.000,1964
Papua New Guinea,PNG,Employment and Time Use,0.000,1965
Papua New Guinea,PNG,Employment and Time Use,5.109,1966
Papua New Guinea,PNG,Employment and Time Use,0.000,1967
Papua New Guinea,PNG,Employment and Time Use,0.000,1968
Papua New Guinea,PNG,Employment and Time Use,0.000,1969
Papua New Guinea,PNG,Employment and Time Use,21.168,1970
Papua New Guinea,PNG,Employment and Time Use,26.277,1971
Papua New Guinea,PNG,Employment and Time Use,21.168,1972
Papua New Guinea,PNG,Employment and Time Use,21.168,1973
Papua New Guinea,PNG,Employment and Time Use,21.168,1974
Papua New Guinea,PNG,Employment and Time Use,21.168,1975
Papua New Guinea,PNG,Employment and Time Use,21.168,1976
Papua New Guinea,PNG,Employment and Time Use,21.168,1977
Papua New Guinea,PNG,Employment and Time Use,21.168,1978
Papua New Guinea,PNG,Employment and Time Use,21.168,1979
Papua New Guinea,PNG,Employment and Time Use,21.168,1980
Papua New Guinea,PNG,Employment and Time Use,21.168,1981
Papua New Guinea,PNG,Employment and Time Use,21.168,1982
Papua New Guinea,PNG,Employment and Time Use,21.168,1983
Papua New Guinea,PNG,Employment and Time Use,21.168,1984
Papua New Guinea,PNG,Employment and Time Use,21.168,1985
Papua New Guinea,PNG,Employment and Time Use,21.168,1986
Papua New Guinea,PNG,Employment and Time Use,21.168,1987
Papua New Guinea,PNG,Employment and Time Use,21.168,1988
Papua New Guinea,PNG,Employment and Time Use,21.168,1989
Papua New Guinea,PNG,Employment and Time Use,33.577,1990
Papua New Guinea,PNG,Employment and Time Use,56.204,1991
Papua New Guinea,PNG,Employment and Time Use,56.204,1992
Papua New Guinea,PNG,Employment and Time Use,56.204,1993
Papua New Guinea,PNG,Employment and Time Use,56.204,1994
Papua New Guinea,PNG,Employment and Time Use,56.204,1995
Papua New Guinea,PNG,Employment and Time Use,56.204,1996
Papua New Guinea,PNG,Employment and Time Use,56.204,1997
Papua New Guinea,PNG,Employment and Time Use,56.204,1998
Papua New Guinea,PNG,Employment and Time Use,56.204,1999
Papua New Guinea,PNG,Employment and Time Use,62.774,2000
Papua New Guinea,PNG,Employment and Time Use,56.204,2001
Papua New Guinea,PNG,Employment and Time Use,56.204,2002
Papua New Guinea,PNG,Employment and Time Use,56.204,2003
Papua New Guinea,PNG,Employment and Time Use,56.204,2004
Papua New Guinea,PNG,Employment and Time Use,56.204,2005
Papua New Guinea,PNG,Employment and Time Use,56.204,2006
Papua New Guinea,PNG,Employment and Time Use,56.204,2007
Papua New Guinea,PNG,Employment and Time Use,56.204,2008
Papua New Guinea,PNG,Employment and Time Use,56.204,2009
Papua New Guinea,PNG,Employment and Time Use,86.861,2010
Papua New Guinea,PNG,Employment and Time Use,58.394,2011
Papua New Guinea,PNG,Employment and Time Use,56.204,2012
Papua New Guinea,PNG,Employment and Time Use,56.204,2013
Papua New Guinea,PNG,Employment and Time Use,56.204,2014
Papua New Guinea,PNG,Employment and Time Use,56.204,2015
Papua New Guinea,PNG,Employment and Time Use,56.204,2016
Papua New Guinea,PNG,Employment and Time Use,56.204,2017
Papua New Guinea,PNG,Employment and Time Use,56.204,2018
Papua New Guinea,PNG,Employment and Time Use,56.204,2019
Papua New Guinea,PNG,Employment and Time Use,56.204,2020
Papua New Guinea,PNG,Employment and Time Use,56.204,2021
Papua New Guinea,PNG,Employment and Time Use,86.861,2022
Papua New Guinea,PNG,Employment and Time Use,57.664,2023
Papua New Guinea,PNG,Entrepreneurship,0.000,1960
Papua New Guinea,PNG,Entrepreneurship,0.000,1961
Papua New Guinea,PNG,Entrepreneurship,0.000,1962
Papua New Guinea,PNG,Entrepreneurship,0.000,1963
Papua New Guinea,PNG,Entrepreneurship,0.000,1964
Papua New Guinea,PNG,Entrepreneurship,0.000,1965
Papua New Guinea,PNG,Entrepreneurship,0.000,1966
Papua New Guinea,PNG,Entrepreneurship,0.000,1967
Papua New Guinea,PNG,Entrepreneurship,0.000,1968
Papua New Guinea,PNG,Entrepreneurship,0.000,1969
Papua New Guinea,PNG,Entrepreneurship,9.375,1970
Papua New Guinea,PNG,Entrepreneurship,9.375,1971
Papua New Guinea,PNG,Entrepreneurship,9.375,1972
Papua New Guinea,PNG,Entrepreneurship,9.375,1973
Papua New Guinea,PNG,Entrepreneurship,9.375,1974
