Country Name,Country Code,Topic,% of available indicators,Year
Tanzania,TZA,Assets,0.000,1960
Tanzania,TZA,Assets,0.000,1961
Tanzania,TZA,Assets,0.000,1962
Tanzania,TZA,Assets,0.000,1963
Tanzania,TZA,Assets,0.000,1964
Tanzania,TZA,Assets,0.000,1965
Tanzania,TZA,Assets,0.000,1966
Tanzania,TZA,Assets,0.000,1967
Tanzania,TZA,Assets,0.000,1968
Tanzania,TZA,Assets,0.000,1969
Tanzania,TZA,Assets,2.208,1970
Tanzania,TZA,Assets,2.208,1971
Tanzania,TZA,Assets,2.208,1972
Tanzania,TZA,Assets,2.208,1973
Tanzania,TZA,Assets,2.208,1974
Tanzania,TZA,Assets,2.208,1975
Tanzania,TZA,Assets,2.208,1976
Tanzania,TZA,Assets,2.208,1977
Tanzania,TZA,Assets,2.208,1978
Tanzania,TZA,Assets,2.208,1979
Tanzania,TZA,Assets,2.208,1980
Tanzania,TZA,Assets,2.208,1981
Tanzania,TZA,Assets,2.208,1982
Tanzania,TZA,Assets,2.208,1983
Tanzania,TZA,Assets,2.208,1984
Tanzania,TZA,Assets,2.208,1985
Tanzania,TZA,Assets,2.208,1986
Tanzania,TZA,Assets,2.208,1987
Tanzania,TZA,Assets,2.208,1988
Tanzania,TZA,Assets,2.208,1989
Tanzania,TZA,Assets,2.208,1990
Tanzania,TZA,Assets,2.208,1991
Tanzania,TZA,Assets,2.208,1992
Tanzania,TZA,Assets,2.208,1993
Tanzania,TZA,Assets,2.208,1994
Tanzania,TZA,Assets,2.208,1995
Tanzania,TZA,Assets,2.208,1996
Tanzania,TZA,Assets,2.208,1997
Tanzania,TZA,Assets,2.208,1998
Tanzania,TZA,Assets,2.208,1999
Tanzania,TZA,Assets,2.208,2000
Tanzania,TZA,Assets,2.208,2001
Tanzania,TZA,Assets,2.208,2002
Tanzania,TZA,Assets,2.208,2003
Tanzania,TZA,Assets,2.208,2004
Tanzania,TZA,Assets,2.208,2005
Tanzania,TZA,Assets,2.208,2006
Tanzania,TZA,Assets,2.208,2007
Tanzania,TZA,Assets,2.208,2008
Tanzania,TZA,Assets,2.208,2009
Tanzania,TZA,Assets,2.208,2010
Tanzania,TZA,Assets,11.672,2011
Tanzania,TZA,Assets,2.208,2012
Tanzania,TZA,Assets,2.208,2013
Tanzania,TZA,Assets,31.546,2014
Tanzania,TZA,Assets,2.208,2015
Tanzania,TZA,Assets,32.492,2016
Tanzania,TZA,Assets,33.438,2017
Tanzania,TZA,Assets,2.208,2018
Tanzania,TZA,Assets,2.208,2019
Tanzania,TZA,Assets,2.208,2020
Tanzania,TZA,Assets,63.091,2021
Tanzania,TZA,Assets,29.968,2022
Tanzania,TZA,Assets,2.208,2023
Tanzania,TZA,Children 0-14,19.231,1960
Tanzania,TZA,Children 0-14,19.231,1961
Tanzania,TZA,Children 0-14,19.231,1962
Tanzania,TZA,Children 0-14,19.231,1963
Tanzania,TZA,Children 0-14,19.231,1964
Tanzania,TZA,Children 0-14,19.231,1965
Tanzania,TZA,Children 0-14,19.231,1966
Tanzania,TZA,Children 0-14,19.231,1967
Tanzania,TZA,Children 0-14,19.231,1968
Tanzania,TZA,Children 0-14,19.231,1969
Tanzania,TZA,Children 0-14,23.077,1970
Tanzania,TZA,Children 0-14,24.615,1971
Tanzania,TZA,Children 0-14,24.615,1972
Tanzania,TZA,Children 0-14,24.615,1973
Tanzania,TZA,Children 0-14,26.154,1974
Tanzania,TZA,Children 0-14,27.692,1975
Tanzania,TZA,Children 0-14,29.231,1976
Tanzania,TZA,Children 0-14,23.077,1977
Tanzania,TZA,Children 0-14,23.077,1978
Tanzania,TZA,Children 0-14,23.077,1979
Tanzania,TZA,Children 0-14,29.231,1980
Tanzania,TZA,Children 0-14,36.923,1981
Tanzania,TZA,Children 0-14,36.923,1982
Tanzania,TZA,Children 0-14,36.923,1983
Tanzania,TZA,Children 0-14,30.769,1984
Tanzania,TZA,Children 0-14,35.385,1985
Tanzania,TZA,Children 0-14,36.923,1986
Tanzania,TZA,Children 0-14,36.923,1987
Tanzania,TZA,Children 0-14,36.923,1988
Tanzania,TZA,Children 0-14,35.385,1989
Tanzania,TZA,Children 0-14,33.846,1990
Tanzania,TZA,Children 0-14,48.462,1991
Tanzania,TZA,Children 0-14,40.000,1992
Tanzania,TZA,Children 0-14,36.923,1993
Tanzania,TZA,Children 0-14,35.385,1994
Tanzania,TZA,Children 0-14,32.308,1995
Tanzania,TZA,Children 0-14,48.462,1996
Tanzania,TZA,Children 0-14,36.923,1997
Tanzania,TZA,Children 0-14,39.231,1998
Tanzania,TZA,Children 0-14,53.846,1999
Tanzania,TZA,Children 0-14,50.769,2000
Tanzania,TZA,Children 0-14,41.538,2001
Tanzania,TZA,Children 0-14,44.615,2002
Tanzania,TZA,Children 0-14,36.154,2003
Tanzania,TZA,Children 0-14,56.923,2004
Tanzania,TZA,Children 0-14,47.692,2005
Tanzania,TZA,Children 0-14,43.846,2006
Tanzania,TZA,Children 0-14,32.308,2007
Tanzania,TZA,Children 0-14,43.077,2008
Tanzania,TZA,Children 0-14,48.462,2009
Tanzania,TZA,Children 0-14,83.077,2010
Tanzania,TZA,Children 0-14,48.462,2011
Tanzania,TZA,Children 0-14,53.077,2012
Tanzania,TZA,Children 0-14,53.846,2013
Tanzania,TZA,Children 0-14,56.923,2014
Tanzania,TZA,Children 0-14,63.846,2015
Tanzania,TZA,Children 0-14,53.077,2016
Tanzania,TZA,Children 0-14,51.538,2017
Tanzania,TZA,Children 0-14,66.154,2018
Tanzania,TZA,Children 0-14,61.538,2019
Tanzania,TZA,Children 0-14,43.077,2020
Tanzania,TZA,Children 0-14,33.846,2021
Tanzania,TZA,Children 0-14,47.692,2022
Tanzania,TZA,Children 0-14,19.231,2023
Tanzania,TZA,Education,0.000,1960
Tanzania,TZA,Education,0.000,1961
Tanzania,TZA,Education,0.000,1962
Tanzania,TZA,Education,0.000,1963
Tanzania,TZA,Education,0.000,1964
Tanzania,TZA,Education,0.000,1965
Tanzania,TZA,Education,0.000,1966
Tanzania,TZA,Education,0.000,1967
Tanzania,TZA,Education,0.000,1968
Tanzania,TZA,Education,0.000,1969
Tanzania,TZA,Education,15.337,1970
Tanzania,TZA,Education,16.564,1971
Tanzania,TZA,Education,17.178,1972
Tanzania,TZA,Education,17.178,1973
Tanzania,TZA,Education,17.791,1974
Tanzania,TZA,Education,18.405,1975
Tanzania,TZA,Education,20.245,1976
Tanzania,TZA,Education,14.724,1977
Tanzania,TZA,Education,15.337,1978
Tanzania,TZA,Education,15.337,1979
Tanzania,TZA,Education,9.202,1980
Tanzania,TZA,Education,20.859,1981
Tanzania,TZA,Education,25.153,1982
Tanzania,TZA,Education,24.540,1983
Tanzania,TZA,Education,12.883,1984
Tanzania,TZA,Education,20.859,1985
Tanzania,TZA,Education,25.153,1986
Tanzania,TZA,Education,25.767,1987
Tanzania,TZA,Education,27.607,1988
Tanzania,TZA,Education,21.472,1989
Tanzania,TZA,Education,13.497,1990
Tanzania,TZA,Education,25.153,1991
Tanzania,TZA,Education,25.153,1992
Tanzania,TZA,Education,24.540,1993
Tanzania,TZA,Education,23.926,1994
Tanzania,TZA,Education,22.086,1995
Tanzania,TZA,Education,23.313,1996
Tanzania,TZA,Education,25.767,1997
Tanzania,TZA,Education,18.405,1998
Tanzania,TZA,Education,20.245,1999
Tanzania,TZA,Education,17.178,2000
Tanzania,TZA,Education,22.086,2001
Tanzania,TZA,Education,32.515,2002
Tanzania,TZA,Education,17.791,2003
Tanzania,TZA,Education,26.994,2004
Tanzania,TZA,Education,25.153,2005
Tanzania,TZA,Education,20.245,2006
Tanzania,TZA,Education,13.497,2007
Tanzania,TZA,Education,19.632,2008
Tanzania,TZA,Education,14.724,2009
Tanzania,TZA,Education,55.215,2010
Tanzania,TZA,Education,12.270,2011
Tanzania,TZA,Education,50.307,2012
Tanzania,TZA,Education,27.607,2013
Tanzania,TZA,Education,41.104,2014
Tanzania,TZA,Education,36.196,2015
Tanzania,TZA,Education,40.491,2016
Tanzania,TZA,Education,48.466,2017
Tanzania,TZA,Education,54.601,2018
Tanzania,TZA,Education,23.926,2019
Tanzania,TZA,Education,47.853,2020
Tanzania,TZA,Education,22.086,2021
Tanzania,TZA,Education,20.245,2022
Tanzania,TZA,Education,12.270,2023
Tanzania,TZA,Employment and Time Use,0.000,1960
