Country Name,Country Code,Topic,% of available indicators,Year
Bulgaria,BGR,Assets,0.000,1960
Bulgaria,BGR,Assets,0.000,1961
Bulgaria,BGR,Assets,0.000,1962
Bulgaria,BGR,Assets,0.000,1963
Bulgaria,BGR,Assets,0.000,1964
Bulgaria,BGR,Assets,0.000,1965
Bulgaria,BGR,Assets,0.000,1966
Bulgaria,BGR,Assets,0.000,1967
Bulgaria,BGR,Assets,0.000,1968
Bulgaria,BGR,Assets,0.000,1969
Bulgaria,BGR,Assets,2.208,1970
Bulgaria,BGR,Assets,2.208,1971
Bulgaria,BGR,Assets,2.208,1972
Bulgaria,BGR,Assets,2.208,1973
Bulgaria,BGR,Assets,2.208,1974
Bulgaria,BGR,Assets,2.208,1975
Bulgaria,BGR,Assets,2.208,1976
Bulgaria,BGR,Assets,2.208,1977
Bulgaria,BGR,Assets,2.208,1978
Bulgaria,BGR,Assets,2.208,1979
Bulgaria,BGR,Assets,2.208,1980
Bulgaria,BGR,Assets,2.208,1981
Bulgaria,BGR,Assets,2.208,1982
Bulgaria,BGR,Assets,2.208,1983
Bulgaria,BGR,Assets,2.208,1984
Bulgaria,BGR,Assets,2.208,1985
Bulgaria,BGR,Assets,2.208,1986
Bulgaria,BGR,Assets,2.208,1987
Bulgaria,BGR,Assets,2.208,1988
Bulgaria,BGR,Assets,2.208,1989
Bulgaria,BGR,Assets,2.208,1990
Bulgaria,BGR,Assets,2.208,1991
Bulgaria,BGR,Assets,2.208,1992
Bulgaria,BGR,Assets,2.208,1993
Bulgaria,BGR,Assets,2.208,1994
Bulgaria,BGR,Assets,2.208,1995
Bulgaria,BGR,Assets,2.208,1996
Bulgaria,BGR,Assets,2.208,1997
Bulgaria,BGR,Assets,2.208,1998
Bulgaria,BGR,Assets,2.208,1999
Bulgaria,BGR,Assets,2.208,2000
Bulgaria,BGR,Assets,2.208,2001
Bulgaria,BGR,Assets,2.208,2002
Bulgaria,BGR,Assets,2.208,2003
Bulgaria,BGR,Assets,2.208,2004
Bulgaria,BGR,Assets,2.208,2005
Bulgaria,BGR,Assets,2.208,2006
Bulgaria,BGR,Assets,2.208,2007
Bulgaria,BGR,Assets,2.208,2008
Bulgaria,BGR,Assets,2.208,2009
Bulgaria,BGR,Assets,2.208,2010
Bulgaria,BGR,Assets,11.672,2011
Bulgaria,BGR,Assets,2.208,2012
Bulgaria,BGR,Assets,2.208,2013
Bulgaria,BGR,Assets,30.599,2014
Bulgaria,BGR,Assets,2.208,2015
Bulgaria,BGR,Assets,2.208,2016
Bulgaria,BGR,Assets,33.123,2017
Bulgaria,BGR,Assets,2.208,2018
Bulgaria,BGR,Assets,2.208,2019
Bulgaria,BGR,Assets,2.208,2020
Bulgaria,BGR,Assets,61.199,2021
Bulgaria,BGR,Assets,2.208,2022
Bulgaria,BGR,Assets,2.208,2023
Bulgaria,BGR,Children 0-14,19.231,1960
Bulgaria,BGR,Children 0-14,19.231,1961
Bulgaria,BGR,Children 0-14,19.231,1962
Bulgaria,BGR,Children 0-14,19.231,1963
Bulgaria,BGR,Children 0-14,19.231,1964
Bulgaria,BGR,Children 0-14,19.231,1965
Bulgaria,BGR,Children 0-14,19.231,1966
Bulgaria,BGR,Children 0-14,19.231,1967
Bulgaria,BGR,Children 0-14,19.231,1968
Bulgaria,BGR,Children 0-14,19.231,1969
Bulgaria,BGR,Children 0-14,19.231,1970
Bulgaria,BGR,Children 0-14,27.692,1971
Bulgaria,BGR,Children 0-14,27.692,1972
Bulgaria,BGR,Children 0-14,27.692,1973
Bulgaria,BGR,Children 0-14,27.692,1974
Bulgaria,BGR,Children 0-14,30.000,1975
Bulgaria,BGR,Children 0-14,27.692,1976
Bulgaria,BGR,Children 0-14,27.692,1977
Bulgaria,BGR,Children 0-14,27.692,1978
Bulgaria,BGR,Children 0-14,27.692,1979
Bulgaria,BGR,Children 0-14,29.231,1980
Bulgaria,BGR,Children 0-14,29.231,1981
Bulgaria,BGR,Children 0-14,29.231,1982
Bulgaria,BGR,Children 0-14,29.231,1983
Bulgaria,BGR,Children 0-14,29.231,1984
Bulgaria,BGR,Children 0-14,29.231,1985
Bulgaria,BGR,Children 0-14,32.308,1986
Bulgaria,BGR,Children 0-14,32.308,1987
Bulgaria,BGR,Children 0-14,32.308,1988
Bulgaria,BGR,Children 0-14,32.308,1989
Bulgaria,BGR,Children 0-14,32.308,1990
Bulgaria,BGR,Children 0-14,32.308,1991
