Country Name,Country Code,Topic,% of available indicators,Year
Mauritius,MUS,Assets,0.000,1960
Mauritius,MUS,Assets,0.000,1961
Mauritius,MUS,Assets,0.000,1962
Mauritius,MUS,Assets,0.000,1963
Mauritius,MUS,Assets,0.000,1964
Mauritius,MUS,Assets,0.000,1965
Mauritius,MUS,Assets,0.000,1966
Mauritius,MUS,Assets,0.000,1967
Mauritius,MUS,Assets,0.000,1968
Mauritius,MUS,Assets,0.000,1969
Mauritius,MUS,Assets,2.208,1970
Mauritius,MUS,Assets,2.208,1971
Mauritius,MUS,Assets,2.208,1972
Mauritius,MUS,Assets,2.208,1973
Mauritius,MUS,Assets,2.208,1974
Mauritius,MUS,Assets,2.208,1975
Mauritius,MUS,Assets,2.208,1976
Mauritius,MUS,Assets,2.208,1977
Mauritius,MUS,Assets,2.208,1978
Mauritius,MUS,Assets,2.208,1979
Mauritius,MUS,Assets,2.208,1980
Mauritius,MUS,Assets,2.208,1981
Mauritius,MUS,Assets,2.208,1982
Mauritius,MUS,Assets,2.208,1983
Mauritius,MUS,Assets,2.208,1984
Mauritius,MUS,Assets,2.208,1985
Mauritius,MUS,Assets,2.208,1986
Mauritius,MUS,Assets,2.208,1987
Mauritius,MUS,Assets,2.208,1988
Mauritius,MUS,Assets,2.208,1989
Mauritius,MUS,Assets,2.208,1990
Mauritius,MUS,Assets,2.208,1991
Mauritius,MUS,Assets,2.208,1992
Mauritius,MUS,Assets,2.208,1993
Mauritius,MUS,Assets,2.208,1994
Mauritius,MUS,Assets,2.208,1995
Mauritius,MUS,Assets,2.208,1996
Mauritius,MUS,Assets,2.208,1997
Mauritius,MUS,Assets,2.208,1998
Mauritius,MUS,Assets,2.208,1999
Mauritius,MUS,Assets,2.208,2000
Mauritius,MUS,Assets,2.208,2001
Mauritius,MUS,Assets,2.208,2002
Mauritius,MUS,Assets,2.208,2003
Mauritius,MUS,Assets,2.208,2004
Mauritius,MUS,Assets,2.208,2005
Mauritius,MUS,Assets,2.208,2006
Mauritius,MUS,Assets,2.208,2007
Mauritius,MUS,Assets,2.208,2008
Mauritius,MUS,Assets,2.208,2009
Mauritius,MUS,Assets,2.208,2010
Mauritius,MUS,Assets,11.672,2011
Mauritius,MUS,Assets,2.208,2012
Mauritius,MUS,Assets,2.208,2013
Mauritius,MUS,Assets,31.546,2014
Mauritius,MUS,Assets,2.208,2015
Mauritius,MUS,Assets,2.208,2016
Mauritius,MUS,Assets,27.760,2017
Mauritius,MUS,Assets,2.208,2018
Mauritius,MUS,Assets,2.208,2019
Mauritius,MUS,Assets,2.208,2020
Mauritius,MUS,Assets,63.091,2021
Mauritius,MUS,Assets,2.208,2022
Mauritius,MUS,Assets,2.208,2023
Mauritius,MUS,Children 0-14,17.692,1960
Mauritius,MUS,Children 0-14,19.231,1961
Mauritius,MUS,Children 0-14,19.231,1962
Mauritius,MUS,Children 0-14,19.231,1963
Mauritius,MUS,Children 0-14,19.231,1964
Mauritius,MUS,Children 0-14,19.231,1965
Mauritius,MUS,Children 0-14,19.231,1966
Mauritius,MUS,Children 0-14,19.231,1967
Mauritius,MUS,Children 0-14,19.231,1968
Mauritius,MUS,Children 0-14,19.231,1969
Mauritius,MUS,Children 0-14,25.385,1970
Mauritius,MUS,Children 0-14,25.385,1971
Mauritius,MUS,Children 0-14,37.692,1972
Mauritius,MUS,Children 0-14,35.385,1973
Mauritius,MUS,Children 0-14,35.385,1974
Mauritius,MUS,Children 0-14,35.385,1975
Mauritius,MUS,Children 0-14,35.385,1976
Mauritius,MUS,Children 0-14,35.385,1977
Mauritius,MUS,Children 0-14,35.385,1978
Mauritius,MUS,Children 0-14,35.385,1979
Mauritius,MUS,Children 0-14,33.846,1980
Mauritius,MUS,Children 0-14,36.154,1981
Mauritius,MUS,Children 0-14,38.462,1982
Mauritius,MUS,Children 0-14,39.231,1983
Mauritius,MUS,Children 0-14,37.692,1984
Mauritius,MUS,Children 0-14,37.692,1985
Mauritius,MUS,Children 0-14,37.692,1986
Mauritius,MUS,Children 0-14,34.615,1987
Mauritius,MUS,Children 0-14,34.615,1988
Mauritius,MUS,Children 0-14,34.615,1989
Mauritius,MUS,Children 0-14,44.615,1990
Mauritius,MUS,Children 0-14,39.231,1991
Mauritius,MUS,Children 0-14,31.538,1992
Mauritius,MUS,Children 0-14,40.000,1993
Mauritius,MUS,Children 0-14,37.692,1994
Mauritius,MUS,Children 0-14,43.077,1995
Mauritius,MUS,Children 0-14,40.000,1996
