Country Name,Country Code,Topic,% of available indicators,Year
Netherlands,NLD,Assets,0.000,1960
Netherlands,NLD,Assets,0.000,1961
Netherlands,NLD,Assets,0.000,1962
Netherlands,NLD,Assets,0.000,1963
Netherlands,NLD,Assets,0.000,1964
Netherlands,NLD,Assets,0.000,1965
Netherlands,NLD,Assets,0.000,1966
Netherlands,NLD,Assets,0.000,1967
Netherlands,NLD,Assets,0.000,1968
Netherlands,NLD,Assets,0.000,1969
Netherlands,NLD,Assets,2.208,1970
Netherlands,NLD,Assets,2.208,1971
Netherlands,NLD,Assets,2.208,1972
Netherlands,NLD,Assets,2.208,1973
Netherlands,NLD,Assets,2.208,1974
Netherlands,NLD,Assets,2.208,1975
Netherlands,NLD,Assets,2.208,1976
Netherlands,NLD,Assets,2.208,1977
Netherlands,NLD,Assets,2.208,1978
Netherlands,NLD,Assets,2.208,1979
Netherlands,NLD,Assets,2.208,1980
Netherlands,NLD,Assets,2.208,1981
Netherlands,NLD,Assets,2.208,1982
Netherlands,NLD,Assets,2.208,1983
Netherlands,NLD,Assets,2.208,1984
Netherlands,NLD,Assets,2.208,1985
Netherlands,NLD,Assets,2.208,1986
Netherlands,NLD,Assets,2.208,1987
Netherlands,NLD,Assets,2.208,1988
Netherlands,NLD,Assets,2.208,1989
Netherlands,NLD,Assets,2.208,1990
Netherlands,NLD,Assets,2.208,1991
Netherlands,NLD,Assets,2.208,1992
Netherlands,NLD,Assets,2.208,1993
Netherlands,NLD,Assets,2.208,1994
Netherlands,NLD,Assets,2.208,1995
Netherlands,NLD,Assets,2.208,1996
Netherlands,NLD,Assets,2.208,1997
Netherlands,NLD,Assets,2.208,1998
Netherlands,NLD,Assets,2.208,1999
Netherlands,NLD,Assets,2.208,2000
Netherlands,NLD,Assets,2.208,2001
Netherlands,NLD,Assets,2.208,2002
Netherlands,NLD,Assets,2.208,2003
Netherlands,NLD,Assets,2.208,2004
Netherlands,NLD,Assets,2.208,2005
Netherlands,NLD,Assets,2.208,2006
Netherlands,NLD,Assets,2.208,2007
Netherlands,NLD,Assets,2.208,2008
Netherlands,NLD,Assets,2.208,2009
Netherlands,NLD,Assets,2.208,2010
Netherlands,NLD,Assets,10.726,2011
Netherlands,NLD,Assets,2.208,2012
Netherlands,NLD,Assets,2.208,2013
Netherlands,NLD,Assets,24.921,2014
Netherlands,NLD,Assets,2.208,2015
Netherlands,NLD,Assets,2.208,2016
Netherlands,NLD,Assets,26.814,2017
Netherlands,NLD,Assets,2.208,2018
Netherlands,NLD,Assets,2.208,2019
Netherlands,NLD,Assets,2.208,2020
Netherlands,NLD,Assets,51.735,2021
Netherlands,NLD,Assets,2.208,2022
Netherlands,NLD,Assets,2.208,2023
Netherlands,NLD,Children 0-14,19.231,1960
Netherlands,NLD,Children 0-14,19.231,1961
Netherlands,NLD,Children 0-14,19.231,1962
Netherlands,NLD,Children 0-14,19.231,1963
Netherlands,NLD,Children 0-14,19.231,1964
Netherlands,NLD,Children 0-14,19.231,1965
Netherlands,NLD,Children 0-14,19.231,1966
Netherlands,NLD,Children 0-14,19.231,1967
Netherlands,NLD,Children 0-14,19.231,1968
Netherlands,NLD,Children 0-14,19.231,1969
Netherlands,NLD,Children 0-14,19.231,1970
Netherlands,NLD,Children 0-14,42.308,1971
Netherlands,NLD,Children 0-14,40.000,1972
Netherlands,NLD,Children 0-14,40.000,1973
Netherlands,NLD,Children 0-14,40.000,1974
Netherlands,NLD,Children 0-14,40.000,1975
Netherlands,NLD,Children 0-14,40.000,1976
Netherlands,NLD,Children 0-14,40.000,1977
Netherlands,NLD,Children 0-14,40.000,1978
Netherlands,NLD,Children 0-14,40.000,1979
Netherlands,NLD,Children 0-14,41.538,1980
Netherlands,NLD,Children 0-14,41.538,1981
Netherlands,NLD,Children 0-14,41.538,1982
Netherlands,NLD,Children 0-14,41.538,1983
Netherlands,NLD,Children 0-14,41.538,1984
Netherlands,NLD,Children 0-14,40.000,1985
Netherlands,NLD,Children 0-14,36.923,1986
Netherlands,NLD,Children 0-14,36.923,1987
Netherlands,NLD,Children 0-14,36.923,1988
Netherlands,NLD,Children 0-14,36.923,1989
Netherlands,NLD,Children 0-14,36.923,1990
Netherlands,NLD,Children 0-14,36.923,1991
Netherlands,NLD,Children 0-14,36.923,1992
Netherlands,NLD,Children 0-14,34.615,1993
Netherlands,NLD,Children 0-14,34.615,1994
Netherlands,NLD,Children 0-14,34.615,1995
Netherlands,NLD,Children 0-14,46.154,1996
Netherlands,NLD,Children 0-14,34.615,1997
Netherlands,NLD,Children 0-14,27.692,1998
Netherlands,NLD,Children 0-14,30.769,1999
Netherlands,NLD,Children 0-14,42.308,2000
Netherlands,NLD,Children 0-14,34.615,2001
Netherlands,NLD,Children 0-14,28.462,2002
Netherlands,NLD,Children 0-14,30.000,2003
Netherlands,NLD,Children 0-14,34.615,2004
Netherlands,NLD,Children 0-14,34.615,2005
