Country Name,Country Code,Topic,% of available indicators,Year
Comoros,COM,Assets,0.000,1960
Comoros,COM,Assets,0.000,1961
Comoros,COM,Assets,0.000,1962
Comoros,COM,Assets,0.000,1963
Comoros,COM,Assets,0.000,1964
Comoros,COM,Assets,0.000,1965
Comoros,COM,Assets,0.000,1966
Comoros,COM,Assets,0.000,1967
Comoros,COM,Assets,0.000,1968
Comoros,COM,Assets,0.000,1969
Comoros,COM,Assets,2.208,1970
Comoros,COM,Assets,2.208,1971
Comoros,COM,Assets,2.208,1972
Comoros,COM,Assets,2.208,1973
Comoros,COM,Assets,2.208,1974
Comoros,COM,Assets,2.208,1975
Comoros,COM,Assets,2.208,1976
Comoros,COM,Assets,2.208,1977
Comoros,COM,Assets,2.208,1978
Comoros,COM,Assets,2.208,1979
Comoros,COM,Assets,2.208,1980
Comoros,COM,Assets,2.208,1981
Comoros,COM,Assets,2.208,1982
Comoros,COM,Assets,2.208,1983
Comoros,COM,Assets,2.208,1984
Comoros,COM,Assets,2.208,1985
Comoros,COM,Assets,2.208,1986
Comoros,COM,Assets,2.208,1987
Comoros,COM,Assets,2.208,1988
Comoros,COM,Assets,2.208,1989
Comoros,COM,Assets,2.208,1990
Comoros,COM,Assets,2.208,1991
Comoros,COM,Assets,2.208,1992
Comoros,COM,Assets,2.208,1993
Comoros,COM,Assets,2.208,1994
Comoros,COM,Assets,2.208,1995
Comoros,COM,Assets,2.208,1996
Comoros,COM,Assets,2.208,1997
Comoros,COM,Assets,2.208,1998
Comoros,COM,Assets,2.208,1999
Comoros,COM,Assets,2.208,2000
Comoros,COM,Assets,2.208,2001
Comoros,COM,Assets,2.208,2002
Comoros,COM,Assets,2.208,2003
Comoros,COM,Assets,2.208,2004
Comoros,COM,Assets,2.208,2005
Comoros,COM,Assets,2.208,2006
Comoros,COM,Assets,2.208,2007
Comoros,COM,Assets,2.208,2008
Comoros,COM,Assets,2.208,2009
Comoros,COM,Assets,2.208,2010
Comoros,COM,Assets,10.726,2011
Comoros,COM,Assets,32.492,2012
Comoros,COM,Assets,2.208,2013
Comoros,COM,Assets,2.208,2014
Comoros,COM,Assets,2.208,2015
Comoros,COM,Assets,2.208,2016
Comoros,COM,Assets,2.208,2017
Comoros,COM,Assets,2.208,2018
Comoros,COM,Assets,2.208,2019
Comoros,COM,Assets,2.208,2020
Comoros,COM,Assets,2.208,2021
Comoros,COM,Assets,62.461,2022
Comoros,COM,Assets,2.208,2023
Comoros,COM,Children 0-14,10.769,1960
Comoros,COM,Children 0-14,10.769,1961
Comoros,COM,Children 0-14,10.769,1962
Comoros,COM,Children 0-14,10.769,1963
Comoros,COM,Children 0-14,10.769,1964
Comoros,COM,Children 0-14,10.769,1965
Comoros,COM,Children 0-14,10.769,1966
Comoros,COM,Children 0-14,10.769,1967
Comoros,COM,Children 0-14,10.769,1968
Comoros,COM,Children 0-14,10.769,1969
Comoros,COM,Children 0-14,15.385,1970
Comoros,COM,Children 0-14,21.538,1971
Comoros,COM,Children 0-14,21.538,1972
Comoros,COM,Children 0-14,21.538,1973
Comoros,COM,Children 0-14,21.538,1974
Comoros,COM,Children 0-14,23.077,1975
Comoros,COM,Children 0-14,20.000,1976
Comoros,COM,Children 0-14,20.000,1977
Comoros,COM,Children 0-14,19.231,1978
Comoros,COM,Children 0-14,20.000,1979
Comoros,COM,Children 0-14,19.231,1980
Comoros,COM,Children 0-14,26.923,1981
Comoros,COM,Children 0-14,19.231,1982
Comoros,COM,Children 0-14,23.077,1983
Comoros,COM,Children 0-14,24.615,1984
Comoros,COM,Children 0-14,24.615,1985
Comoros,COM,Children 0-14,33.077,1986
Comoros,COM,Children 0-14,36.154,1987
Comoros,COM,Children 0-14,24.615,1988
Comoros,COM,Children 0-14,24.615,1989
Comoros,COM,Children 0-14,26.923,1990
Comoros,COM,Children 0-14,24.615,1991
Comoros,COM,Children 0-14,32.308,1992
Comoros,COM,Children 0-14,26.923,1993
Comoros,COM,Children 0-14,33.846,1994
Comoros,COM,Children 0-14,20.769,1995
Comoros,COM,Children 0-14,31.538,1996
Comoros,COM,Children 0-14,20.769,1997
Comoros,COM,Children 0-14,26.154,1998
Comoros,COM,Children 0-14,40.000,1999
Comoros,COM,Children 0-14,59.231,2000
Comoros,COM,Children 0-14,20.769,2001
Comoros,COM,Children 0-14,30.000,2002
Comoros,COM,Children 0-14,32.308,2003
Comoros,COM,Children 0-14,32.308,2004
Comoros,COM,Children 0-14,20.769,2005
Comoros,COM,Children 0-14,20.769,2006
Comoros,COM,Children 0-14,36.154,2007
Comoros,COM,Children 0-14,31.538,2008
Comoros,COM,Children 0-14,20.769,2009
Comoros,COM,Children 0-14,36.923,2010
Comoros,COM,Children 0-14,26.154,2011
Comoros,COM,Children 0-14,40.000,2012
Comoros,COM,Children 0-14,44.615,2013
Comoros,COM,Children 0-14,46.923,2014
Comoros,COM,Children 0-14,34.615,2015
Comoros,COM,Children 0-14,23.846,2016
Comoros,COM,Children 0-14,46.154,2017
Comoros,COM,Children 0-14,44.615,2018
Comoros,COM,Children 0-14,34.615,2019
Comoros,COM,Children 0-14,25.385,2020
Comoros,COM,Children 0-14,33.077,2021
Comoros,COM,Children 0-14,25.385,2022
Comoros,COM,Children 0-14,14.615,2023
Comoros,COM,Education,0.000,1960
Comoros,COM,Education,0.000,1961
Comoros,COM,Education,0.000,1962
Comoros,COM,Education,0.000,1963
Comoros,COM,Education,0.000,1964
Comoros,COM,Education,0.000,1965
Comoros,COM,Education,0.000,1966
Comoros,COM,Education,0.000,1967
Comoros,COM,Education,0.000,1968
Comoros,COM,Education,0.000,1969
Comoros,COM,Education,0.000,1970
Comoros,COM,Education,11.043,1971
Comoros,COM,Education,4.294,1972
Comoros,COM,Education,11.043,1973
Comoros,COM,Education,4.908,1974
Comoros,COM,Education,3.067,1975
Comoros,COM,Education,0.613,1976
Comoros,COM,Education,0.613,1977
Comoros,COM,Education,0.000,1978
Comoros,COM,Education,0.613,1979
Comoros,COM,Education,6.748,1980
Comoros,COM,Education,14.110,1981
Comoros,COM,Education,0.000,1982
Comoros,COM,Education,3.067,1983
Comoros,COM,Education,3.067,1984
Comoros,COM,Education,3.067,1985
Comoros,COM,Education,17.791,1986
Comoros,COM,Education,19.018,1987
Comoros,COM,Education,3.067,1988
Comoros,COM,Education,3.067,1989
Comoros,COM,Education,7.975,1990
Comoros,COM,Education,3.067,1991
Comoros,COM,Education,12.883,1992
Comoros,COM,Education,5.521,1993
Comoros,COM,Education,12.270,1994
Comoros,COM,Education,0.000,1995
Comoros,COM,Education,1.227,1996
Comoros,COM,Education,0.000,1997
Comoros,COM,Education,5.521,1998
Comoros,COM,Education,37.423,1999
Comoros,COM,Education,22.699,2000
Comoros,COM,Education,0.000,2001
Comoros,COM,Education,23.313,2002
Comoros,COM,Education,28.834,2003
Comoros,COM,Education,23.926,2004
Comoros,COM,Education,0.000,2005
Comoros,COM,Education,0.000,2006
Comoros,COM,Education,12.883,2007
Comoros,COM,Education,10.429,2008
Comoros,COM,Education,3.067,2009
Comoros,COM,Education,3.067,2010
Comoros,COM,Education,8.589,2011
Comoros,COM,Education,10.429,2012
Comoros,COM,Education,40.491,2013
Comoros,COM,Education,55.828,2014
Comoros,COM,Education,0.613,2015
Comoros,COM,Education,2.454,2016
Comoros,COM,Education,41.104,2017
Comoros,COM,Education,41.104,2018
Comoros,COM,Education,0.000,2019
Comoros,COM,Education,11.656,2020
Comoros,COM,Education,23.926,2021
Comoros,COM,Education,12.270,2022
Comoros,COM,Education,7.362,2023
Comoros,COM,Employment and Time Use,0.000,1960
Comoros,COM,Employment and Time Use,0.000,1961
Comoros,COM,Employment and Time Use,0.000,1962
Comoros,COM,Employment and Time Use,0.000,1963
Comoros,COM,Employment and Time Use,0.000,1964
Comoros,COM,Employment and Time Use,0.000,1965
Comoros,COM,Employment and Time Use,0.000,1966
Comoros,COM,Employment and Time Use,0.000,1967
Comoros,COM,Employment and Time Use,0.000,1968
Comoros,COM,Employment and Time Use,0.000,1969
Comoros,COM,Employment and Time Use,21.168,1970
Comoros,COM,Employment and Time Use,21.168,1971
Comoros,COM,Employment and Time Use,21.168,1972
