Country Name,Country Code,Topic,% of available indicators,Year
Qatar,QAT,Assets,0.000,1960
Qatar,QAT,Assets,0.000,1961
Qatar,QAT,Assets,0.000,1962
Qatar,QAT,Assets,0.000,1963
Qatar,QAT,Assets,0.000,1964
Qatar,QAT,Assets,0.000,1965
Qatar,QAT,Assets,0.000,1966
Qatar,QAT,Assets,0.000,1967
Qatar,QAT,Assets,0.000,1968
Qatar,QAT,Assets,0.000,1969
Qatar,QAT,Assets,2.208,1970
Qatar,QAT,Assets,2.208,1971
Qatar,QAT,Assets,2.208,1972
Qatar,QAT,Assets,2.208,1973
Qatar,QAT,Assets,2.208,1974
Qatar,QAT,Assets,2.208,1975
Qatar,QAT,Assets,2.208,1976
Qatar,QAT,Assets,2.208,1977
Qatar,QAT,Assets,2.208,1978
Qatar,QAT,Assets,2.208,1979
Qatar,QAT,Assets,2.208,1980
Qatar,QAT,Assets,2.208,1981
Qatar,QAT,Assets,2.208,1982
Qatar,QAT,Assets,2.208,1983
Qatar,QAT,Assets,2.208,1984
Qatar,QAT,Assets,2.208,1985
Qatar,QAT,Assets,2.208,1986
Qatar,QAT,Assets,2.208,1987
Qatar,QAT,Assets,2.208,1988
Qatar,QAT,Assets,2.208,1989
Qatar,QAT,Assets,2.208,1990
Qatar,QAT,Assets,2.208,1991
Qatar,QAT,Assets,2.208,1992
Qatar,QAT,Assets,2.208,1993
Qatar,QAT,Assets,2.208,1994
Qatar,QAT,Assets,2.208,1995
Qatar,QAT,Assets,2.208,1996
Qatar,QAT,Assets,2.208,1997
Qatar,QAT,Assets,2.208,1998
Qatar,QAT,Assets,2.208,1999
Qatar,QAT,Assets,2.208,2000
Qatar,QAT,Assets,2.208,2001
Qatar,QAT,Assets,2.208,2002
Qatar,QAT,Assets,2.208,2003
Qatar,QAT,Assets,2.208,2004
Qatar,QAT,Assets,2.208,2005
Qatar,QAT,Assets,2.208,2006
Qatar,QAT,Assets,2.208,2007
Qatar,QAT,Assets,2.208,2008
Qatar,QAT,Assets,2.208,2009
Qatar,QAT,Assets,2.208,2010
Qatar,QAT,Assets,10.726,2011
Qatar,QAT,Assets,2.208,2012
Qatar,QAT,Assets,2.208,2013
Qatar,QAT,Assets,2.208,2014
Qatar,QAT,Assets,2.208,2015
Qatar,QAT,Assets,2.208,2016
Qatar,QAT,Assets,2.208,2017
Qatar,QAT,Assets,2.208,2018
Qatar,QAT,Assets,2.208,2019
Qatar,QAT,Assets,2.208,2020
Qatar,QAT,Assets,2.208,2021
Qatar,QAT,Assets,2.208,2022
Qatar,QAT,Assets,2.208,2023
Qatar,QAT,Children 0-14,10.769,1960
Qatar,QAT,Children 0-14,10.769,1961
Qatar,QAT,Children 0-14,10.769,1962
Qatar,QAT,Children 0-14,10.769,1963
Qatar,QAT,Children 0-14,10.769,1964
Qatar,QAT,Children 0-14,10.769,1965
Qatar,QAT,Children 0-14,10.769,1966
Qatar,QAT,Children 0-14,10.769,1967
Qatar,QAT,Children 0-14,10.769,1968
Qatar,QAT,Children 0-14,15.385,1969
Qatar,QAT,Children 0-14,17.692,1970
Qatar,QAT,Children 0-14,38.462,1971
Qatar,QAT,Children 0-14,38.462,1972
Qatar,QAT,Children 0-14,38.462,1973
Qatar,QAT,Children 0-14,40.000,1974
Qatar,QAT,Children 0-14,32.308,1975
Qatar,QAT,Children 0-14,40.000,1976
Qatar,QAT,Children 0-14,40.000,1977
Qatar,QAT,Children 0-14,40.000,1978
Qatar,QAT,Children 0-14,40.000,1979
Qatar,QAT,Children 0-14,38.462,1980
Qatar,QAT,Children 0-14,40.000,1981
Qatar,QAT,Children 0-14,36.923,1982
Qatar,QAT,Children 0-14,38.462,1983
Qatar,QAT,Children 0-14,41.538,1984
Qatar,QAT,Children 0-14,40.000,1985
Qatar,QAT,Children 0-14,42.308,1986
Qatar,QAT,Children 0-14,40.000,1987
Qatar,QAT,Children 0-14,40.000,1988
Qatar,QAT,Children 0-14,41.538,1989
Qatar,QAT,Children 0-14,40.000,1990
Qatar,QAT,Children 0-14,39.231,1991
Qatar,QAT,Children 0-14,41.538,1992
Qatar,QAT,Children 0-14,41.538,1993
Qatar,QAT,Children 0-14,41.538,1994
Qatar,QAT,Children 0-14,36.923,1995
Qatar,QAT,Children 0-14,32.308,1996
Qatar,QAT,Children 0-14,26.923,1997
Qatar,QAT,Children 0-14,33.077,1998
Qatar,QAT,Children 0-14,34.615,1999
Qatar,QAT,Children 0-14,50.000,2000
Qatar,QAT,Children 0-14,32.308,2001
Qatar,QAT,Children 0-14,33.846,2002
Qatar,QAT,Children 0-14,36.923,2003
Qatar,QAT,Children 0-14,36.923,2004
Qatar,QAT,Children 0-14,38.462,2005
Qatar,QAT,Children 0-14,48.462,2006
Qatar,QAT,Children 0-14,43.077,2007
Qatar,QAT,Children 0-14,39.231,2008
Qatar,QAT,Children 0-14,42.308,2009
Qatar,QAT,Children 0-14,53.077,2010
Qatar,QAT,Children 0-14,52.308,2011
Qatar,QAT,Children 0-14,40.769,2012
Qatar,QAT,Children 0-14,46.923,2013
Qatar,QAT,Children 0-14,49.231,2014
Qatar,QAT,Children 0-14,65.385,2015
Qatar,QAT,Children 0-14,56.923,2016
Qatar,QAT,Children 0-14,52.308,2017
Qatar,QAT,Children 0-14,51.538,2018
Qatar,QAT,Children 0-14,53.846,2019
Qatar,QAT,Children 0-14,44.615,2020
Qatar,QAT,Children 0-14,42.308,2021
Qatar,QAT,Children 0-14,35.385,2022
Qatar,QAT,Children 0-14,9.231,2023
Qatar,QAT,Education,0.000,1960
Qatar,QAT,Education,0.000,1961
Qatar,QAT,Education,0.000,1962
Qatar,QAT,Education,0.000,1963
Qatar,QAT,Education,0.000,1964
Qatar,QAT,Education,0.000,1965
Qatar,QAT,Education,0.000,1966
Qatar,QAT,Education,0.000,1967
Qatar,QAT,Education,0.000,1968
Qatar,QAT,Education,0.000,1969
Qatar,QAT,Education,0.000,1970
Qatar,QAT,Education,31.288,1971
Qatar,QAT,Education,27.607,1972
Qatar,QAT,Education,27.607,1973
Qatar,QAT,Education,26.994,1974
Qatar,QAT,Education,20.245,1975
Qatar,QAT,Education,32.515,1976
Qatar,QAT,Education,32.515,1977
Qatar,QAT,Education,27.607,1978
Qatar,QAT,Education,26.994,1979
Qatar,QAT,Education,31.902,1980
Qatar,QAT,Education,30.675,1981
Qatar,QAT,Education,25.153,1982
Qatar,QAT,Education,31.288,1983
Qatar,QAT,Education,33.742,1984
Qatar,QAT,Education,33.129,1985
Qatar,QAT,Education,42.331,1986
Qatar,QAT,Education,30.675,1987
Qatar,QAT,Education,30.675,1988
Qatar,QAT,Education,31.288,1989
Qatar,QAT,Education,30.675,1990
Qatar,QAT,Education,31.902,1991
Qatar,QAT,Education,31.902,1992
Qatar,QAT,Education,31.902,1993
Qatar,QAT,Education,31.902,1994
Qatar,QAT,Education,25.153,1995
Qatar,QAT,Education,21.472,1996
Qatar,QAT,Education,14.724,1997
Qatar,QAT,Education,26.380,1998
Qatar,QAT,Education,27.607,1999
Qatar,QAT,Education,26.994,2000
Qatar,QAT,Education,33.742,2001
Qatar,QAT,Education,34.969,2002
Qatar,QAT,Education,34.356,2003
Qatar,QAT,Education,42.945,2004
Qatar,QAT,Education,31.902,2005
Qatar,QAT,Education,39.264,2006
Qatar,QAT,Education,50.920,2007
Qatar,QAT,Education,49.693,2008
Qatar,QAT,Education,50.307,2009
Qatar,QAT,Education,63.190,2010
Qatar,QAT,Education,58.282,2011
Qatar,QAT,Education,50.920,2012
Qatar,QAT,Education,54.601,2013
Qatar,QAT,Education,61.963,2014
Qatar,QAT,Education,55.828,2015
Qatar,QAT,Education,65.031,2016
Qatar,QAT,Education,71.166,2017
Qatar,QAT,Education,68.098,2018
Qatar,QAT,Education,38.037,2019
Qatar,QAT,Education,48.466,2020
Qatar,QAT,Education,38.650,2021
Qatar,QAT,Education,31.288,2022
Qatar,QAT,Education,2.454,2023
Qatar,QAT,Employment and Time Use,0.000,1960
Qatar,QAT,Employment and Time Use,0.000,1961
Qatar,QAT,Employment and Time Use,0.000,1962
Qatar,QAT,Employment and Time Use,0.000,1963
Qatar,QAT,Employment and Time Use,0.000,1964
Qatar,QAT,Employment and Time Use,0.000,1965
Qatar,QAT,Employment and Time Use,0.000,1966
Qatar,QAT,Employment and Time Use,0.000,1967
Qatar,QAT,Employment and Time Use,0.000,1968
Qatar,QAT,Employment and Time Use,0.000,1969
Qatar,QAT,Employment and Time Use,21.168,1970
Qatar,QAT,Employment and Time Use,21.168,1971
Qatar,QAT,Employment and Time Use,21.168,1972
Qatar,QAT,Employment and Time Use,21.168,1973
Qatar,QAT,Employment and Time Use,21.168,1974
Qatar,QAT,Employment and Time Use,21.168,1975
Qatar,QAT,Employment and Time Use,21.168,1976
Qatar,QAT,Employment and Time Use,21.168,1977
Qatar,QAT,Employment and Time Use,21.168,1978
Qatar,QAT,Employment and Time Use,21.168,1979
Qatar,QAT,Employment and Time Use,21.168,1980
Qatar,QAT,Employment and Time Use,21.168,1981
Qatar,QAT,Employment and Time Use,21.168,1982
Qatar,QAT,Employment and Time Use,21.168,1983
Qatar,QAT,Employment and Time Use,21.168,1984
Qatar,QAT,Employment and Time Use,21.168,1985
Qatar,QAT,Employment and Time Use,26.277,1986
Qatar,QAT,Employment and Time Use,21.168,1987
Qatar,QAT,Employment and Time Use,21.168,1988
Qatar,QAT,Employment and Time Use,21.168,1989
Qatar,QAT,Employment and Time Use,31.387,1990
Qatar,QAT,Employment and Time Use,56.204,1991
Qatar,QAT,Employment and Time Use,56.204,1992
Qatar,QAT,Employment and Time Use,56.204,1993
Qatar,QAT,Employment and Time Use,56.204,1994
Qatar,QAT,Employment and Time Use,56.204,1995
Qatar,QAT,Employment and Time Use,56.204,1996
Qatar,QAT,Employment and Time Use,63.504,1997
