Country Name,Country Code,Topic,% of available indicators,Year
Lithuania,LTU,Assets,0.000,1960
Lithuania,LTU,Assets,0.000,1961
Lithuania,LTU,Assets,0.000,1962
Lithuania,LTU,Assets,0.000,1963
Lithuania,LTU,Assets,0.000,1964
Lithuania,LTU,Assets,0.000,1965
Lithuania,LTU,Assets,0.000,1966
Lithuania,LTU,Assets,0.000,1967
Lithuania,LTU,Assets,0.000,1968
Lithuania,LTU,Assets,0.000,1969
Lithuania,LTU,Assets,2.208,1970
Lithuania,LTU,Assets,2.208,1971
Lithuania,LTU,Assets,2.208,1972
Lithuania,LTU,Assets,2.208,1973
Lithuania,LTU,Assets,2.208,1974
Lithuania,LTU,Assets,2.208,1975
Lithuania,LTU,Assets,2.208,1976
Lithuania,LTU,Assets,2.208,1977
Lithuania,LTU,Assets,2.208,1978
Lithuania,LTU,Assets,2.208,1979
Lithuania,LTU,Assets,2.208,1980
Lithuania,LTU,Assets,2.208,1981
Lithuania,LTU,Assets,2.208,1982
Lithuania,LTU,Assets,2.208,1983
Lithuania,LTU,Assets,2.208,1984
Lithuania,LTU,Assets,2.208,1985
Lithuania,LTU,Assets,2.208,1986
Lithuania,LTU,Assets,2.208,1987
Lithuania,LTU,Assets,2.208,1988
Lithuania,LTU,Assets,2.208,1989
Lithuania,LTU,Assets,2.208,1990
Lithuania,LTU,Assets,2.208,1991
Lithuania,LTU,Assets,2.208,1992
Lithuania,LTU,Assets,2.208,1993
Lithuania,LTU,Assets,2.208,1994
Lithuania,LTU,Assets,2.208,1995
Lithuania,LTU,Assets,2.208,1996
Lithuania,LTU,Assets,2.208,1997
Lithuania,LTU,Assets,2.208,1998
Lithuania,LTU,Assets,2.208,1999
Lithuania,LTU,Assets,2.208,2000
Lithuania,LTU,Assets,2.208,2001
Lithuania,LTU,Assets,2.208,2002
Lithuania,LTU,Assets,2.208,2003
Lithuania,LTU,Assets,2.208,2004
Lithuania,LTU,Assets,2.208,2005
Lithuania,LTU,Assets,2.208,2006
Lithuania,LTU,Assets,2.208,2007
Lithuania,LTU,Assets,2.208,2008
Lithuania,LTU,Assets,2.208,2009
Lithuania,LTU,Assets,2.208,2010
Lithuania,LTU,Assets,11.672,2011
Lithuania,LTU,Assets,2.208,2012
Lithuania,LTU,Assets,2.208,2013
Lithuania,LTU,Assets,30.599,2014
Lithuania,LTU,Assets,2.208,2015
Lithuania,LTU,Assets,2.208,2016
Lithuania,LTU,Assets,33.123,2017
Lithuania,LTU,Assets,2.208,2018
Lithuania,LTU,Assets,2.208,2019
Lithuania,LTU,Assets,2.208,2020
Lithuania,LTU,Assets,58.360,2021
Lithuania,LTU,Assets,2.208,2022
Lithuania,LTU,Assets,2.208,2023
Lithuania,LTU,Children 0-14,10.769,1960
Lithuania,LTU,Children 0-14,10.769,1961
Lithuania,LTU,Children 0-14,10.769,1962
Lithuania,LTU,Children 0-14,10.769,1963
Lithuania,LTU,Children 0-14,10.769,1964
Lithuania,LTU,Children 0-14,10.769,1965
Lithuania,LTU,Children 0-14,10.769,1966
Lithuania,LTU,Children 0-14,15.385,1967
Lithuania,LTU,Children 0-14,17.692,1968
Lithuania,LTU,Children 0-14,17.692,1969
Lithuania,LTU,Children 0-14,17.692,1970
Lithuania,LTU,Children 0-14,17.692,1971
Lithuania,LTU,Children 0-14,19.231,1972
Lithuania,LTU,Children 0-14,19.231,1973
Lithuania,LTU,Children 0-14,19.231,1974
Lithuania,LTU,Children 0-14,19.231,1975
Lithuania,LTU,Children 0-14,19.231,1976
Lithuania,LTU,Children 0-14,19.231,1977
Lithuania,LTU,Children 0-14,19.231,1978
Lithuania,LTU,Children 0-14,19.231,1979
Lithuania,LTU,Children 0-14,19.231,1980
Lithuania,LTU,Children 0-14,23.846,1981
Lithuania,LTU,Children 0-14,19.231,1982
Lithuania,LTU,Children 0-14,19.231,1983
Lithuania,LTU,Children 0-14,19.231,1984
Lithuania,LTU,Children 0-14,19.231,1985
Lithuania,LTU,Children 0-14,23.846,1986
Lithuania,LTU,Children 0-14,19.231,1987
Lithuania,LTU,Children 0-14,19.231,1988
Lithuania,LTU,Children 0-14,23.077,1989
Lithuania,LTU,Children 0-14,20.769,1990
Lithuania,LTU,Children 0-14,25.385,1991
Lithuania,LTU,Children 0-14,26.923,1992
Lithuania,LTU,Children 0-14,26.923,1993
Lithuania,LTU,Children 0-14,26.923,1994
Lithuania,LTU,Children 0-14,32.308,1995
Lithuania,LTU,Children 0-14,30.769,1996
Lithuania,LTU,Children 0-14,32.308,1997
Lithuania,LTU,Children 0-14,37.692,1998
Lithuania,LTU,Children 0-14,38.462,1999
Lithuania,LTU,Children 0-14,52.308,2000
Lithuania,LTU,Children 0-14,44.615,2001
Lithuania,LTU,Children 0-14,38.462,2002
Lithuania,LTU,Children 0-14,43.077,2003
Lithuania,LTU,Children 0-14,34.615,2004
Lithuania,LTU,Children 0-14,39.231,2005
Lithuania,LTU,Children 0-14,45.385,2006
Lithuania,LTU,Children 0-14,39.231,2007
Lithuania,LTU,Children 0-14,39.231,2008
Lithuania,LTU,Children 0-14,39.231,2009
Lithuania,LTU,Children 0-14,55.385,2010
Lithuania,LTU,Children 0-14,48.462,2011
Lithuania,LTU,Children 0-14,41.538,2012
Lithuania,LTU,Children 0-14,45.385,2013
Lithuania,LTU,Children 0-14,48.462,2014
Lithuania,LTU,Children 0-14,61.538,2015
Lithuania,LTU,Children 0-14,53.846,2016
Lithuania,LTU,Children 0-14,50.769,2017
Lithuania,LTU,Children 0-14,40.000,2018
Lithuania,LTU,Children 0-14,50.769,2019
Lithuania,LTU,Children 0-14,41.538,2020
Lithuania,LTU,Children 0-14,44.615,2021
Lithuania,LTU,Children 0-14,36.154,2022
Lithuania,LTU,Children 0-14,9.231,2023
Lithuania,LTU,Education,0.000,1960
Lithuania,LTU,Education,0.000,1961
Lithuania,LTU,Education,0.000,1962
Lithuania,LTU,Education,0.000,1963
Lithuania,LTU,Education,0.000,1964
Lithuania,LTU,Education,0.000,1965
Lithuania,LTU,Education,0.000,1966
Lithuania,LTU,Education,0.000,1967
Lithuania,LTU,Education,0.000,1968
Lithuania,LTU,Education,0.000,1969
Lithuania,LTU,Education,0.000,1970
Lithuania,LTU,Education,0.000,1971
Lithuania,LTU,Education,0.000,1972
Lithuania,LTU,Education,0.000,1973
Lithuania,LTU,Education,0.000,1974
Lithuania,LTU,Education,0.000,1975
Lithuania,LTU,Education,0.000,1976
Lithuania,LTU,Education,0.000,1977
Lithuania,LTU,Education,0.000,1978
Lithuania,LTU,Education,0.000,1979
Lithuania,LTU,Education,0.000,1980
Lithuania,LTU,Education,6.748,1981
Lithuania,LTU,Education,0.000,1982
Lithuania,LTU,Education,0.000,1983
Lithuania,LTU,Education,0.000,1984
Lithuania,LTU,Education,0.000,1985
Lithuania,LTU,Education,9.202,1986
Lithuania,LTU,Education,0.000,1987
Lithuania,LTU,Education,0.000,1988
Lithuania,LTU,Education,17.178,1989
Lithuania,LTU,Education,6.748,1990
Lithuania,LTU,Education,8.589,1991
Lithuania,LTU,Education,11.043,1992
Lithuania,LTU,Education,17.791,1993
Lithuania,LTU,Education,12.883,1994
Lithuania,LTU,Education,25.153,1995
Lithuania,LTU,Education,23.926,1996
Lithuania,LTU,Education,22.699,1997
Lithuania,LTU,Education,37.423,1998
Lithuania,LTU,Education,47.239,1999
Lithuania,LTU,Education,47.853,2000
Lithuania,LTU,Education,58.896,2001
Lithuania,LTU,Education,47.239,2002
Lithuania,LTU,Education,52.761,2003
Lithuania,LTU,Education,46.626,2004
Lithuania,LTU,Education,55.828,2005
Lithuania,LTU,Education,59.509,2006
Lithuania,LTU,Education,53.374,2007
Lithuania,LTU,Education,53.374,2008
Lithuania,LTU,Education,54.601,2009
Lithuania,LTU,Education,71.166,2010
Lithuania,LTU,Education,74.847,2011
Lithuania,LTU,Education,63.190,2012
Lithuania,LTU,Education,66.871,2013
Lithuania,LTU,Education,69.939,2014
Lithuania,LTU,Education,66.871,2015
Lithuania,LTU,Education,71.779,2016
Lithuania,LTU,Education,74.847,2017
Lithuania,LTU,Education,52.147,2018
Lithuania,LTU,Education,38.037,2019
Lithuania,LTU,Education,47.239,2020
Lithuania,LTU,Education,41.718,2021
Lithuania,LTU,Education,33.742,2022
Lithuania,LTU,Education,1.840,2023
Lithuania,LTU,Employment and Time Use,0.000,1960
Lithuania,LTU,Employment and Time Use,0.000,1961
Lithuania,LTU,Employment and Time Use,0.000,1962
Lithuania,LTU,Employment and Time Use,0.000,1963
Lithuania,LTU,Employment and Time Use,0.000,1964
Lithuania,LTU,Employment and Time Use,0.000,1965
Lithuania,LTU,Employment and Time Use,0.000,1966
Lithuania,LTU,Employment and Time Use,0.000,1967
Lithuania,LTU,Employment and Time Use,0.000,1968
Lithuania,LTU,Employment and Time Use,0.000,1969
Lithuania,LTU,Employment and Time Use,21.168,1970
Lithuania,LTU,Employment and Time Use,21.168,1971
Lithuania,LTU,Employment and Time Use,21.168,1972
Lithuania,LTU,Employment and Time Use,21.168,1973
Lithuania,LTU,Employment and Time Use,21.168,1974
Lithuania,LTU,Employment and Time Use,21.168,1975
Lithuania,LTU,Employment and Time Use,21.168,1976
Lithuania,LTU,Employment and Time Use,21.168,1977
Lithuania,LTU,Employment and Time Use,21.168,1978
Lithuania,LTU,Employment and Time Use,21.168,1979
Lithuania,LTU,Employment and Time Use,21.168,1980
Lithuania,LTU,Employment and Time Use,21.168,1981
Lithuania,LTU,Employment and Time Use,21.168,1982
Lithuania,LTU,Employment and Time Use,21.168,1983
Lithuania,LTU,Employment and Time Use,21.168,1984
Lithuania,LTU,Employment and Time Use,21.168,1985
Lithuania,LTU,Employment and Time Use,21.168,1986
Lithuania,LTU,Employment and Time Use,21.168,1987
Lithuania,LTU,Employment and Time Use,21.168,1988
Lithuania,LTU,Employment and Time Use,26.277,1989
Lithuania,LTU,Employment and Time Use,31.387,1990
Lithuania,LTU,Employment and Time Use,56.204,1991
Lithuania,LTU,Employment and Time Use,56.204,1992
Lithuania,LTU,Employment and Time Use,56.204,1993
Lithuania,LTU,Employment and Time Use,56.934,1994
Lithuania,LTU,Employment and Time Use,56.934,1995
Lithuania,LTU,Employment and Time Use,57.664,1996
Lithuania,LTU,Employment and Time Use,72.263,1997
Lithuania,LTU,Employment and Time Use,88.321,1998
Lithuania,LTU,Employment and Time Use,88.321,1999
Lithuania,LTU,Employment and Time Use,89.051,2000
Lithuania,LTU,Employment and Time Use,90.511,2001
Lithuania,LTU,Employment and Time Use,90.511,2002
Lithuania,LTU,Employment and Time Use,91.971,2003
Lithuania,LTU,Employment and Time Use,90.511,2004
Lithuania,LTU,Employment and Time Use,90.511,2005
Lithuania,LTU,Employment and Time Use,90.511,2006
Lithuania,LTU,Employment and Time Use,90.511,2007
Lithuania,LTU,Employment and Time Use,90.511,2008
Lithuania,LTU,Employment and Time Use,90.511,2009
Lithuania,LTU,Employment and Time Use,90.511,2010
Lithuania,LTU,Employment and Time Use,90.511,2011
Lithuania,LTU,Employment and Time Use,90.511,2012
Lithuania,LTU,Employment and Time Use,90.511,2013
Lithuania,LTU,Employment and Time Use,90.511,2014
Lithuania,LTU,Employment and Time Use,90.511,2015
Lithuania,LTU,Employment and Time Use,90.511,2016
Lithuania,LTU,Employment and Time Use,90.511,2017
Lithuania,LTU,Employment and Time Use,90.511,2018
Lithuania,LTU,Employment and Time Use,90.511,2019
Lithuania,LTU,Employment and Time Use,90.511,2020
Lithuania,LTU,Employment and Time Use,90.511,2021
Lithuania,LTU,Employment and Time Use,90.511,2022
Lithuania,LTU,Employment and Time Use,92.701,2023
Lithuania,LTU,Entrepreneurship,0.000,1960
Lithuania,LTU,Entrepreneurship,0.000,1961
Lithuania,LTU,Entrepreneurship,0.000,1962
Lithuania,LTU,Entrepreneurship,0.000,1963
Lithuania,LTU,Entrepreneurship,0.000,1964
Lithuania,LTU,Entrepreneurship,0.000,1965
Lithuania,LTU,Entrepreneurship,0.000,1966
Lithuania,LTU,Entrepreneurship,0.000,1967
Lithuania,LTU,Entrepreneurship,0.000,1968
Lithuania,LTU,Entrepreneurship,0.000,1969
Lithuania,LTU,Entrepreneurship,9.375,1970
Lithuania,LTU,Entrepreneurship,9.375,1971
Lithuania,LTU,Entrepreneurship,9.375,1972
Lithuania,LTU,Entrepreneurship,9.375,1973
Lithuania,LTU,Entrepreneurship,9.375,1974
Lithuania,LTU,Entrepreneurship,9.375,1975
Lithuania,LTU,Entrepreneurship,9.375,1976
Lithuania,LTU,Entrepreneurship,9.375,1977
Lithuania,LTU,Entrepreneurship,9.375,1978
Lithuania,LTU,Entrepreneurship,9.375,1979
Lithuania,LTU,Entrepreneurship,9.375,1980
Lithuania,LTU,Entrepreneurship,9.375,1981
Lithuania,LTU,Entrepreneurship,9.375,1982
Lithuania,LTU,Entrepreneurship,9.375,1983
Lithuania,LTU,Entrepreneurship,9.375,1984
Lithuania,LTU,Entrepreneurship,9.375,1985
Lithuania,LTU,Entrepreneurship,9.375,1986
Lithuania,LTU,Entrepreneurship,9.375,1987
Lithuania,LTU,Entrepreneurship,9.375,1988
Lithuania,LTU,Entrepreneurship,9.375,1989
Lithuania,LTU,Entrepreneurship,9.375,1990
Lithuania,LTU,Entrepreneurship,9.375,1991
