Country Name,Country Code,Topic,% of available indicators,Year
Mongolia,MNG,Assets,0.000,1960
Mongolia,MNG,Assets,0.000,1961
Mongolia,MNG,Assets,0.000,1962
Mongolia,MNG,Assets,0.000,1963
Mongolia,MNG,Assets,0.000,1964
Mongolia,MNG,Assets,0.000,1965
Mongolia,MNG,Assets,0.000,1966
Mongolia,MNG,Assets,0.000,1967
Mongolia,MNG,Assets,0.000,1968
Mongolia,MNG,Assets,0.000,1969
Mongolia,MNG,Assets,2.208,1970
Mongolia,MNG,Assets,2.208,1971
Mongolia,MNG,Assets,2.208,1972
Mongolia,MNG,Assets,2.208,1973
Mongolia,MNG,Assets,2.208,1974
Mongolia,MNG,Assets,2.208,1975
Mongolia,MNG,Assets,2.208,1976
Mongolia,MNG,Assets,2.208,1977
Mongolia,MNG,Assets,2.208,1978
Mongolia,MNG,Assets,2.208,1979
Mongolia,MNG,Assets,2.208,1980
Mongolia,MNG,Assets,2.208,1981
Mongolia,MNG,Assets,2.208,1982
Mongolia,MNG,Assets,2.208,1983
Mongolia,MNG,Assets,2.208,1984
Mongolia,MNG,Assets,2.208,1985
Mongolia,MNG,Assets,2.208,1986
Mongolia,MNG,Assets,2.208,1987
Mongolia,MNG,Assets,2.208,1988
Mongolia,MNG,Assets,2.208,1989
Mongolia,MNG,Assets,2.208,1990
Mongolia,MNG,Assets,2.208,1991
Mongolia,MNG,Assets,2.208,1992
Mongolia,MNG,Assets,2.208,1993
Mongolia,MNG,Assets,2.208,1994
Mongolia,MNG,Assets,2.208,1995
Mongolia,MNG,Assets,2.208,1996
Mongolia,MNG,Assets,2.208,1997
Mongolia,MNG,Assets,2.208,1998
Mongolia,MNG,Assets,2.208,1999
Mongolia,MNG,Assets,2.208,2000
Mongolia,MNG,Assets,2.208,2001
Mongolia,MNG,Assets,2.208,2002
Mongolia,MNG,Assets,2.208,2003
Mongolia,MNG,Assets,2.208,2004
Mongolia,MNG,Assets,2.208,2005
Mongolia,MNG,Assets,2.208,2006
Mongolia,MNG,Assets,2.208,2007
Mongolia,MNG,Assets,2.208,2008
Mongolia,MNG,Assets,2.208,2009
